"geolcode","class","abbreviation","de","de_description","fr","fr_description","it","it_description","en","en_description","color","pattern","tree"
22102001,"ebor102","g","gekernt",,"carotté",,"carotato",,"cored",,,,
22102002,"ebor102","d","destruktiv ",,"destructif",,"distruttivo",,"destructive",,,,
22102003,"ebor102","ram","gerammt",,"battagé",,"battito",,"rammed",,,,
22102004,"ebor102","ng","nicht gebohrt",,"non foré",,"non forato",,"not drilled",,,,
22102005,"ebor102","gb","gebohrt",,"foré",,"forato",,"drilled",,,,
22102006,"ebor102","a","anderes",,"autre",,"altro",,"other ",,,,
22102007,"ebor102","kA","keine Angaben ",,"sans indication",,"senza indicazioni",,"not specified",,,,
22103001,"ebor103","Gtec","Geotechnik",,"géotechnique",,"geotecnica",,"geotechnics",,,,
22103002,"ebor103","Gthe","Geothermie",,"géothermie",,"geotermia",,"geothermal energie",,,,
22103003,"ebor103","belS","belastete Standorte",,"sites contaminés",,"siti contaminati",,"polluted sites",,,,
22103004,"ebor103","Hyd","Hydrogeologie, Grundwasser",,"hydrogéologie, eau souterraine",,"idrogeologia, acqua sotterranea",,"hydrology",,,,
22103005,"ebor103","Min","Mineralwasser, Thermalwasser",,"eaux minérales, eaux thermales",,"acqua minerale, acqua termale",,"mineral water, thermal water",,,,
22103006,"ebor103","Roh","Mineralische Rohstoffe",,"matières premières minérales",,"materie prime minerali",,"mineral resources",,,,
22103007,"ebor103","KWS","Kohlenwasserstoffe",,"hydrocarbures",,"idrocarburi",,"hydrocarbons",,,,
22103008,"ebor103","Nat","Naturgefahren",,"dangers naturels",,"pericoli naturali",,"natural hazards",,,,
22103009,"ebor103","F","Forschung",,"recherche",,"ricerca",,"research",,,,
22103010,"ebor103","a","anderes",,"autre",,"altro",,"other ",,,,
22103011,"ebor103","kA","keine Angaben",,"sans indication",,"senza indicazioni",,"not specified",,,,
22104001,"ebor104","o","offen",,"ouvert",,"aperto",,"open",,,,
22104002,"ebor104","fuel","verfüllt",,"comblé",,"pieno",,"filled",,,,
22104003,"ebor104","fall","verfallen",,"détruit",,"distrutto",,"decayed",,,,
22104004,"ebor104","nz","überbaut, nicht zugänglich",,"recouvert, inaccessible",,"coperto, inaccessibile",,"covered, inaccessible",,,,
22104005,"ebor104","ames","ausgebaut, Messungen möglich",,"tubé, mesures possibles",,"tubato, misurazioni possibili",,"cased, measurements possible",,,,
22104006,"ebor104","anutz","ausgebaut, in Nutzung",,"tubé, en fonction",,"tubato, in funzione",,"cased and used",,,,
22104007,"ebor104","anm","ausgebaut, nicht mehr messbar",,"tubé, mesures impossibles",,"tubato, misurazioni impossibili",,"cased, measurements impossible",,,,
22104008,"ebor104","a","anderes",,"autre",,"altro",,"other ",,,,
22104009,"ebor104","kA","keine Angaben",,"sans indication",,"senza indicazioni",,"not specified",,,,
22106001,"ebor106","Ja","Ja",,"oui",,"sì",,"yes",,,,
22106002,"ebor106","Nein","Nein",,"non",,"no",,"no",,,,
22106003,"ebor106","kA","keine Angabe",,"sans indication",,"senza indicazioni",,"not specified",,,,
22107001,"ebor107","KB","Kernbohrung",,"forage carrotté",,"sondaggio carotato",,"core drilling",,,,
22107002,"ebor107","SB","Spülbohrung",,"forage destructif",,"perforazione distruttiva",,"hydraulic-circulation drilling",,,,
